setID,number,name,year,theme,pieces,minifigs,availability,ageRange,dimensions,licensed,retailPrice,minAge,Package_Box,Package_Foil,Package_Other,Package_Polybag
30824,60281,Fire Rescue Helicopter,2021,City,212.0,3.0,Retail,{'min': 5},"{'height': 26.2, 'width': 28.2, 'depth': 7.6, 'weight': 0.559}",False,39.99,5,1,0,0,0
30825,60282,Fire Command Unit,2021,City,380.0,4.0,Retail,{'min': 6},"{'height': 28.2, 'width': 48.0, 'depth': 6.1, 'weight': 0.921}",False,59.99,6,1,0,0,0
30826,60283,Holiday Camper Van,2021,City,190.0,3.0,Retail,{'min': 5},"{'height': 19.1, 'width': 26.2, 'depth': 6.1, 'weight': 0.372}",False,19.99,5,1,0,0,0
30810,60284,Roadwork Truck,2021,City,58.0,1.0,Retail,{'min': 4},"{'height': 14.1, 'width': 15.7, 'depth': 6.1, 'weight': 0.138}",False,9.99,4,1,0,0,0
30811,60285,Sports Car,2021,City,89.0,1.0,Retail,{'min': 5},"{'height': 14.1, 'width': 15.7, 'depth': 6.1, 'weight': 0.164}",False,9.99,5,1,0,0,0
30812,60286,Beach Rescue ATV,2021,City,79.0,1.0,Retail,{'min': 5},"{'height': 14.1, 'width': 15.7, 'depth': 6.1, 'weight': 0.152}",False,9.99,5,1,0,0,0
30813,60287,Tractor,2021,City,148.0,2.0,Retail,{'min': 5},"{'height': 19.1, 'width': 26.2, 'depth': 6.1, 'weight': 0.342}",False,19.99,5,1,0,0,0
30814,60288,Race Buggy Transporter,2021,City,210.0,2.0,Retail,{'min': 5},"{'height': 19.1, 'width': 26.2, 'depth': 7.2, 'weight': 0.444}",False,19.99,5,1,0,0,0
30815,60289,Airshow Jet Transporter,2021,City,281.0,2.0,Retail,{'min': 5},"{'height': 19.1, 'width': 35.4, 'depth': 7.0, 'weight': 0.562}",False,29.99,5,1,0,0,0
30827,60290,Skate Park,2021,City,195.0,4.0,Retail,{'min': 5},"{'height': 26.2, 'width': 28.2, 'depth': 5.9, 'weight': 0.45}",False,39.99,5,1,0,0,0
30828,60291,Family House,2021,City,388.0,4.0,Retail,{'min': 5},"{'height': 35.4, 'width': 37.8, 'depth': 7.1, 'weight': 1.017}",False,59.99,5,1,0,0,0
30829,60292,Town Centre,2021,City,790.0,10.0,Retail,{'min': 6},"{'height': 37.8, 'width': 48.0, 'depth': 9.4, 'weight': 1.723}",False,99.99,6,1,0,0,0
31340,60293,Stunt Park,2021,City,170.0,2.0,Retail,{'min': 5},"{'height': 26.2, 'width': 28.2, 'depth': 5.9, 'weight': 0.473}",False,39.99,5,1,0,0,0
31341,60294,Stunt Show Truck,2021,City,420.0,4.0,Retail,{'min': 6},"{'height': 28.2, 'width': 54.0, 'depth': 5.9, 'weight': 0.967}",False,69.99,6,1,0,0,0
31342,60295,Stunt Show Arena,2021,City,668.0,7.0,Retail,{'min': 6},"{'height': 37.8, 'width': 48.0, 'depth': 7.1, 'weight': 1.528}",False,99.99,6,1,0,0,0
31343,60296,Wheelie Stunt Bike,2021,City,14.0,1.0,Retail,{'min': 5},"{'height': 12.2, 'width': 9.1, 'depth': 4.7, 'weight': 0.046}",False,7.99,5,1,0,0,0
31344,60297,Demolition Stunt Bike,2021,City,12.0,1.0,Retail,{'min': 5},"{'height': 12.2, 'width': 9.1, 'depth': 4.7, 'weight': 0.046}",False,7.99,5,1,0,0,0
